   1/50 -esJrBWj2d8    461 frames @2fps  (38s)
   2/50 0tmA_C6XwfM    295 frames @2fps  (62s)
   3/50 37rzWOQsNIw    383 frames @2fps  (100s)
   4/50 3eYKfiOEJNs    405 frames @2fps  (131s)
   5/50 4wU_LUjG5Ic    334 frames @2fps  (158s)
   6/50 91IHQYk1IQM    221 frames @2fps  (175s)
   7/50 98MoyGZKHXc    391 frames @2fps  (204s)
   8/50 AwmHb44_ouw    707 frames @2fps  (259s)
   9/50 Bhxk-O1Y7Ho    901 frames @2fps  (328s)
  10/50 E11zDS9XGzg   1021 frames @2fps  (412s)
  11/50 EE-bNr36nyA    197 frames @2fps  (427s)
  12/50 EYqVtI9YWJA    396 frames @2fps  (457s)
  13/50 GsAD1KT1xo8    291 frames @2fps  (480s)
  14/50 HT5vyqe0Xaw    645 frames @2fps  (533s)
  15/50 Hl-__g2gn_A    488 frames @2fps  (574s)
  16/50 J0nA4VgnoCo   1169 frames @2fps  (674s)
  17/50 JKpqYvAdIsw    317 frames @2fps  (702s)
  18/50 JgHubY5Vw3Y    287 frames @2fps  (726s)
  19/50 LRw_obCPUt0    521 frames @2fps  (769s)
  20/50 NyBmCxDoHJU    395 frames @2fps  (802s)
  21/50 PJrm840pAUI    549 frames @2fps  (847s)
  22/50 RBCABdttQmI    728 frames @2fps  (910s)
  23/50 Se3oxnaPsz0    278 frames @2fps  (934s)
  24/50 VuWGsYPqAX8    451 frames @2fps  (974s)
  25/50 WG0MBPpPC6I    795 frames @2fps  (1060s)
  26/50 WxtbjNsCQ8A    531 frames @2fps  (1118s)
  27/50 XkqCExn6_Us    376 frames @2fps  (1152s)
  28/50 XzYM3PfTM4w    222 frames @2fps  (1174s)
  29/50 Yi4Ij2NM7U4    811 frames @2fps  (1250s)
  30/50 _xMr-HKMfVA    298 frames @2fps  (1280s)
  31/50 akI8YFjEmUw    267 frames @2fps  (1309s)
  32/50 b626MiF1ew4    472 frames @2fps  (1361s)
  33/50 byxOvuiIJV0    309 frames @2fps  (1396s)
  34/50 cjibtmSLxQ4   1294 frames @2fps  (1559s)
  35/50 eQu1rNs0an0    329 frames @2fps  (1594s)
  36/50 fWutDQy1nnY   1169 frames @2fps  (1705s)
  37/50 gzDbaEs1Rlg    601 frames @2fps  (1758s)
  38/50 i3wAGJaaktw    314 frames @2fps  (1797s)
  39/50 iVt07TCkFM0    209 frames @2fps  (1837s)
  40/50 jcoYJXDG9sw    399 frames @2fps  (1895s)
  41/50 kLxoNp-UchI    260 frames @2fps  (1927s)
  42/50 oDXZc0tZe04    761 frames @2fps  (2033s)
  43/50 qqR6AEXwxoQ    539 frames @2fps  (2101s)
  44/50 sTEELN-vY30    298 frames @2fps  (2146s)
  45/50 uGu_10sucQo    335 frames @2fps  (2191s)
  46/50 vdmoEJ5YbrQ    658 frames @2fps  (2276s)
  47/50 xmEERLqJ2kU    891 frames @2fps  (2390s)
  48/50 xwqBXPGE9pQ    468 frames @2fps  (2474s)
  49/50 xxdtq8mxegs    289 frames @2fps  (2532s)
  50/50 z_6gVvQb2d0    553 frames @2fps  (2608s)
wrote features_tvsum.npz
